symbol,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,profit,investment,note
EBBETF0433,2025-08-19,2025-08-19,1247.75,2025-08-26,1248.19,0.04%,0.35,1000.00,
GOODLUCK,2025-08-19,2025-08-19,995.08,2025-08-26,1102.89,10.83%,108.34,1000.00,
GALLANTT,2025-08-19,2025-08-19,619.51,2025-08-26,600.94,-3.00%,-29.97,1000.00,
EBBETF0433,2025-08-20,2025-08-20,1247.68,2025-08-28,1249.12,0.12%,1.15,1000.00,
BBETF0432,2025-08-20,2025-08-20,1281.25,2025-08-28,1283.60,0.18%,1.83,1000.00,
EBBETF0433,2025-08-22,2025-08-22,1247.42,,,,,1000.00,no exit (insufficient data)
GALLANTT,2025-08-22,2025-08-22,614.27,,,,,1000.00,no exit (insufficient data)
ASHAPURMIN,2025-08-25,2025-08-25,480.52,2025-09-02,550.81,14.63%,146.27,1000.00,
GILT5YBEES,2025-08-25,2025-08-25,62.40,2025-09-02,62.29,-0.18%,-1.76,1000.00,
GSEC5IETF,2025-08-26,,,,,,,1000.00,no price data
EBBETF0431,2025-08-26,2025-08-26,1365.33,2025-09-03,1366.79,0.11%,1.07,1000.00,
BBETF0432,2025-08-26,2025-08-26,1280.77,2025-09-03,1282.63,0.15%,1.45,1000.00,
GSEC5IETF,2025-08-28,2025-08-28,62.43,2025-09-04,62.72,0.46%,4.65,1000.00,
GSEC5IETF,2025-09-01,2025-09-01,62.33,2025-09-08,62.85,0.83%,8.34,1000.00,
GLENMARK,2025-09-01,2025-09-01,1922.09,2025-09-08,2046.88,6.49%,64.93,1000.00,
PFOCUS,2025-09-01,2025-09-01,141.63,2025-09-08,174.20,23.00%,229.97,1000.00,
GAYAHWS,2025-09-01,2025-09-01,1.74,2025-09-08,2.16,24.14%,241.38,1000.00,
SETF10GILT,2025-09-01,2025-09-01,255.79,2025-09-08,258.73,1.15%,11.49,1000.00,
EBBETF0431,2025-09-01,2025-09-01,1364.98,2025-09-08,1368.82,0.28%,2.81,1000.00,
GILT5YBEES,2025-09-01,2025-09-01,62.36,2025-09-08,62.55,0.30%,3.05,1000.00,
EBBETF0433,2025-09-02,2025-09-02,1245.99,2025-09-09,1246.56,0.05%,0.46,1000.00,
BLUECOAST,2025-09-02,2025-09-02,53.94,2025-09-09,62.23,15.37%,153.69,1000.00,
LTGILTBEES,2025-09-02,2025-09-02,28.58,2025-09-09,28.84,0.91%,9.10,1000.00,
EBBETF0431,2025-09-02,2025-09-02,1364.23,2025-09-09,1365.97,0.13%,1.28,1000.00,
PFOCUS,2025-09-03,,,,,,,1000.00,no price data
ANURAS,2025-09-03,2025-09-03,1105.80,2025-09-10,1097.00,-0.80%,-7.96,1000.00,
ANURAS,2025-09-04,2025-09-04,1102.00,2025-09-11,1095.40,-0.60%,-5.99,1000.00,
FORCEMOT,2025-09-08,2025-09-08,16992.48,2025-09-15,18780.00,10.52%,105.19,1000.00,
MANGCHEFER,2025-09-08,2025-09-08,323.50,2025-09-15,305.85,-5.46%,-54.56,1000.00,
MBAPL,2025-09-08,2025-09-08,407.40,2025-09-15,431.00,5.79%,57.93,1000.00,
